matchId,blue_wins,blue_kills,blue_assists,blue_deaths,blue_wards_placed,blue_wards_kills,blue_dragon_kills,blue_herald_kills,blue_tower_kills,blue_inhibitor_kills,blue_total_gold,blue_average_lvl,blue_total_exp,blue_total_cs,red_kills,red_assists,red_deaths,red_wards_placed,red_wards_kills,red_dragon_kills,red_herald_kills,red_tower_kills,red_inhibitor_kills,red_total_gold,red_average_lvl,red_total_exp,red_total_cs
NA1_4183900538,True,8,12,8,19,3,0,1,0,0,18813,7.4,20348,273,8,8,8,12,6,0,0,0,0,18721,7.8,20661,299
NA1_4183905185,False,7,7,11,17,2,0,0,0,0,17664,7.0,18519,255,11,8,7,17,3,1,0,0,0,19751,7.4,20205,282
NA1_4183907425,True,11,7,8,9,2,0,1,0,0,18656,7.2,19489,281,8,9,11,14,1,1,0,0,0,18311,7.2,19867,282
NA1_4183915683,False,8,9,8,14,2,0,0,0,0,17881,7.2,19488,275,8,14,8,18,3,1,0,0,0,19451,7.6,20481,310
NA1_4183918466,True,13,10,3,20,2,1,0,0,0,20972,7.6,21237,321,3,2,13,15,3,0,0,0,0,16525,7.2,19069,270
NA1_4183921845,True,12,11,3,18,1,0,1,0,0,19633,7.6,22051,294,3,3,12,15,3,1,0,0,0,16788,7.6,20218,290
NA1_4183929779,True,8,9,7,17,3,1,0,0,0,18868,7.4,20297,305,7,9,8,17,1,0,0,0,0,18294,7.2,19875,309
NA1_4183936602,True,19,32,9,16,3,0,1,0,0,23035,7.2,20174,272,8,14,18,21,4,0,0,0,0,18660,6.8,17939,249
NA1_4183938211,True,9,10,5,18,6,0,1,0,0,19578,7.6,21035,296,5,3,9,14,2,1,0,0,0,18491,7.4,19580,313
NA1_4183939192,False,3,4,10,12,5,0,0,0,0,16796,7.0,18792,297,10,10,3,17,2,1,1,0,0,19346,7.8,21669,287
NA1_4183942117,False,6,8,7,18,1,0,1,0,0,17999,7.2,19429,282,7,5,6,15,2,1,0,0,0,18575,7.6,20401,318
NA1_4183943194,True,5,5,3,17,3,1,0,0,0,18534,7.8,22425,341,3,6,5,15,7,0,1,0,0,16564,7.6,20176,324
NA1_4183949790,False,7,7,14,18,1,1,0,0,0,17488,7.4,19076,260,14,15,7,14,2,0,0,0,0,21170,7.8,21521,263
NA1_4183950451,False,8,2,11,14,4,0,0,0,0,18069,7.4,20371,279,11,12,8,18,3,0,0,0,0,19487,7.2,19634,252
NA1_4183952793,False,4,4,9,24,2,0,0,0,0,16749,7.0,18325,270,9,8,4,20,3,1,1,0,0,18654,7.4,20220,291
NA1_4183955737,True,3,3,0,17,4,1,0,0,0,17533,7.4,20170,350,0,0,3,18,3,0,1,0,0,16212,7.6,20373,329
NA1_4183957481,True,16,16,3,21,6,1,1,0,0,22792,8.0,23065,302,3,2,16,17,6,0,0,0,0,15713,7.0,18013,294
NA1_4183965755,False,5,6,6,16,2,0,0,0,0,18233,7.4,19618,338,6,6,5,14,3,0,1,0,0,17890,7.2,19560,303
NA1_4183972935,False,8,13,6,16,3,0,1,0,0,19277,7.4,20237,318,6,8,8,15,3,1,0,0,0,17138,7.2,19539,292
NA1_4183982913,True,7,7,7,16,3,0,1,0,0,17530,7.2,18832,296,7,6,7,17,0,1,0,0,0,17454,6.8,19274,276
